DIP:237E	DIP:416N		SWP:P02293	PIR:HSBY22	GI:70730	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:238E	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:239E	DIP:851N		SWP:P11938	PIR:S50714	GI:2131234	DIP:33N		SWP:P11978	PIR:A29360	GI:83539
DIP:240E	DIP:33N		SWP:P11978	PIR:A29360	GI:83539	DIP:596N		SWP:P06700	PIR:RGBYS2	GI:73251
DIP:241E	DIP:834N		SWP:P38959	PIR:S49835	GI:1077520	DIP:1002N		SWP:Q07468	PIR:S67613	GI:2132429
DIP:242E	DIP:510N		SWP:P25296	PIR:JH0462	GI:82921	DIP:662N		SWP:P23287	PIR:S16809	GI:101225
DIP:244E	DIP:551N		SWP:P07278	PIR:OKBYRC	GI:279519	DIP:548N		SWP:P06244	PIR:OKBYC1	GI:2144416
DIP:245E	DIP:551N		SWP:P07278	PIR:OKBYRC	GI:279519	DIP:549N		SWP:P06245	PIR:OKBYC2	GI:2144417
DIP:246E	DIP:551N		SWP:P07278	PIR:OKBYRC	GI:279519	DIP:550N		SWP:P05986	PIR:OKBYC3	GI:538539
DIP:247E	DIP:847N		SWP:P25302	PIR:S50614	GI:1072501	DIP:598N		SWP:P09959	PIR:RGBYW6	GI:69001
DIP:249E	DIP:658N		SWP:P24869	PIR:S14166	GI:82957	DIP:847N		SWP:P25302	PIR:S50614	GI:1072501
DIP:250E	DIP:157N		SWP:P29295	PIR:A40860	GI:101506	DIP:598N		SWP:P09959	PIR:RGBYW6	GI:69001
DIP:251E	DIP:720N		SWP:P23292	PIR:S29522	GI:320648	DIP:719N		SWP:P23291	PIR:S29521	GI:320647
DIP:253E	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045	DIP:48N		SWP:P15790	PIR:A31564	GI:82923
DIP:254E	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045	DIP:1038N		SWP:P19454	PIR:TVBY2A	GI:6324635
DIP:255E	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045
DIP:256E	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613	DIP:48N		SWP:P15790	PIR:A31564	GI:82923
DIP:257E	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613	DIP:1038N		SWP:P19454	PIR:TVBY2A	GI:6324635
DIP:258E	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613
DIP:264E	DIP:938N		SWP:P53540	PIR:S59262	GI:6324203	DIP:821N		SWP:P53378	PIR:S48563	GI:626449
DIP:265E	DIP:826N		SWP:P38863	PIR:S48911	GI:6321966	DIP:821N		SWP:P53378	PIR:S48563	GI:626449
DIP:266E	DIP:826N		SWP:P38863	PIR:S48911	GI:6321966	DIP:938N		SWP:P53540	PIR:S59262	GI:6324203
DIP:267E	DIP:938N		SWP:P53540	PIR:S59262	GI:6324203	DIP:702N		SWP:P32380	PIR:S26710	GI:283221
DIP:268E	DIP:826N		SWP:P38863	PIR:S48911	GI:6321966	DIP:702N		SWP:P32380	PIR:S26710	GI:283221
DIP:318E	DIP:411N		SWP:P12398	PIR:HHBYS1	GI:72217	DIP:2N			PIR:A23003	GI:83621
DIP:319E	DIP:742N		SWP:P07149	PIR:S34688	GI:422141	DIP:960N		SWP:P19097	PIR:S61703	GI:2117716
DIP:329E	DIP:824N		SWP:P33304	PIR:S48772	GI:630102	DIP:853N		SWP:P32468	PIR:S50870	GI:1077056
DIP:333E	DIP:943N			PIR:S59425	GI:1363777	DIP:943N			PIR:S59425	GI:1363777
DIP:334E	DIP:689N		SWP:P32524	PIR:S23553	GI:280467	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:335E	DIP:651N		SWP:P19736	PIR:S12320	GI:83435	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:336E	DIP:651N		SWP:P19736	PIR:S12320	GI:83435	DIP:651N		SWP:P19736	PIR:S12320	GI:83435
DIP:337E	DIP:689N		SWP:P32524	PIR:S23553	GI:280467	DIP:651N		SWP:P19736	PIR:S12320	GI:83435
DIP:436E	DIP:18N		SWP:P06782	PIR:A26030	GI:83422	DIP:780N		SWP:P38717	PIR:S42391	GI:630341
DIP:536E	DIP:871N		SWP:P42073	PIR:S52702	GI:1078322	DIP:844N		SWP:P40020	PIR:S50490	GI:1077642
DIP:539E	DIP:777N		SWP:P32578	PIR:S41984	GI:542357	DIP:18N		SWP:P06782	PIR:A26030	GI:83422
DIP:540E	DIP:97N		SWP:P22543	PIR:A36369	GI:101691	DIP:814N		SWP:P22219	PIR:S48264	GI:1078310
DIP:541E	DIP:33N		SWP:P11978	PIR:A29360	GI:83539	DIP:33N		SWP:P11978	PIR:A29360	GI:83539
DIP:542E	DIP:698N		SWP:P15646	PIR:S25421	GI:101461	DIP:746N		SWP:P33750	PIR:S35323	GI:486774
DIP:590E	DIP:293N		SWP:P40957	PIR:A57276	GI:1362416	DIP:982N		SWP:P26309	PIR:S64126	GI:2131207
DIP:591E	DIP:815N		SWP:P40958	PIR:S48302	GI:626729	DIP:982N		SWP:P26309	PIR:S64126	GI:2131207
DIP:662E	DIP:314N		SWP:P18852	PIR:B30102	GI:83551	DIP:954N		SWP:P18851	PIR:S60939	GI:2133158
DIP:663E	DIP:15N		SWP:P08539	PIR:A25906	GI:83053	DIP:954N		SWP:P18851	PIR:S60939	GI:2133158
DIP:704E	DIP:913N		SWP:P40368	PIR:S56833	GI:1077815	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:705E	DIP:745N		SWP:P34077	PIR:S35319	GI:486772	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:706E	DIP:866N		SWP:P48837	PIR:S51799	GI:1084818	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:707E	DIP:709N		SWP:Q02199	PIR:S28026	GI:283219	DIP:669N		SWP:P14306	PIR:S18843	GI:101655
DIP:715E	DIP:55N		SWP:P20433	PIR:A32490	GI:101302	DIP:725N		SWP:P34087	PIR:S30140	GI:422107
DIP:733E	DIP:838N		SWP:P41920	PIR:S50219	GI:1078317	DIP:747N		SWP:P32835	PIR:S35504	GI:486807
DIP:755E	DIP:81N		SWP:P20676	PIR:A35622	GI:101463	DIP:728N		SWP:Q02821	PIR:S30884	GI:320855
DIP:756E	DIP:859N		SWP:P32499	PIR:S51340	GI:1078162	DIP:728N		SWP:Q02821	PIR:S30884	GI:320855
DIP:764E	DIP:86N		SWP:P13902	PIR:A35735	GI:101545	DIP:680N		SWP:P26798	PIR:S21570	GI:101354
DIP:765E	DIP:75N		SWP:P17119	PIR:A34796	GI:101424	DIP:192N		SWP:Q01649	PIR:A44073	GI:283113
DIP:771E	DIP:592N		SWP:P12904	PIR:RGBYC3	GI:73253	DIP:18N		SWP:P06782	PIR:A26030	GI:83422
DIP:772E	DIP:911N		SWP:P07270	PIR:S56289	GI:1084824	DIP:13N		SWP:P07269	PIR:A25872	GI:82888
DIP:831E	DIP:536N		SWP:P06787	PIR:MCBY	GI:71694	DIP:702N		SWP:P32380	PIR:S26710	GI:283221
DIP:834E	DIP:972N		SWP:P53863	PIR:S63193	GI:2131933	DIP:223N		SWP:P32605	PIR:A46301	GI:422203
DIP:837E	DIP:557N		SWP:P26570	PIR:PABY12	GI:2144453	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:851E	DIP:233N		SWP:P32361	PIR:A47541	GI:539088	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:854E	DIP:940N		SWP:P36517	PIR:S59407	GI:1363859	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:855E	DIP:808N		SWP:P08964	PIR:S46773	GI:630046	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:861E	DIP:850N		SWP:P32639	PIR:S50675	GI:1077724	DIP:663N		SWP:Q00916	PIR:S16815	GI:101631
DIP:867E	DIP:930N		SWP:Q99181	PIR:S58329	GI:2131290	DIP:910N		SWP:Q02554	PIR:S56054	GI:1084769
DIP:873E	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482	DIP:930N		SWP:Q99181	PIR:S58329	GI:2131290
DIP:874E	DIP:794N		SWP:P38203	PIR:S45760	GI:6319445	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:875E	DIP:883N		SWP:P25644	PIR:S53590	GI:1084614	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:876E	DIP:944N		SWP:P39081	PIR:S59435	GI:6320434	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:877E	DIP:842N		SWP:P39998	PIR:S50444	GI:1077596	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:878E	DIP:980N		SWP:P53147	PIR:S64103	GI:2131583	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:879E	DIP:807N		SWP:P38768	PIR:S46745	GI:626604	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:880E	DIP:806N		SWP:P38769	PIR:S46740	GI:626605	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:881E	DIP:841N		SWP:P40438	PIR:S50354	GI:1077766	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:882E	DIP:965N		SWP:P53952	PIR:S62150	GI:2131878	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:883E	DIP:995N		SWP:Q08491	PIR:S66959	GI:6324650	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:884E	DIP:1103N		SWP:P18900	PIR:XUBYTP	GI:66630	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:885E	DIP:656N		SWP:P22147	PIR:S13743	GI:83291	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:886E	DIP:776N		SWP:P38999	PIR:S41937	GI:6324378	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:887E	DIP:803N		SWP:P35198	PIR:S46668	GI:626750	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:888E	DIP:931N		SWP:P48240	PIR:S58362	GI:1363809	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:889E	DIP:969N		SWP:P53550	PIR:S63059	GI:2131892	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:890E	DIP:848N		SWP:P40070	PIR:S50615	GI:1077696	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:891E	DIP:976N		SWP:P53742	PIR:S63384	GI:2131978	DIP:903N		SWP:P47093	PIR:S55211	GI:6322482
DIP:902E	DIP:961N			PIR:S61962	GI:2132981	DIP:991N			PIR:S64953	GI:2131783
DIP:903E	DIP:705N		SWP:P32909	PIR:S27458	GI:283268	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:905E	DIP:991N			PIR:S64953	GI:2131783	DIP:758N		SWP:P36084	PIR:S37899	GI:539177
DIP:913E	DIP:985N		SWP:P39935	PIR:S64473	GI:6321601	DIP:1001N		SWP:Q07350	PIR:S67576	GI:2133073
DIP:930E	DIP:712N		SWP:Q03497	PIR:S28394	GI:320831	DIP:689N		SWP:P32524	PIR:S23553	GI:280467
DIP:948E	DIP:881N		SWP:Q00416	PIR:S53416	GI:1078364	DIP:715N		SWP:P43321	PIR:S29093	GI:6323176
DIP:950E	DIP:843N		SWP:P40018	PIR:S50487	GI:6320867	DIP:715N		SWP:P43321	PIR:S29093	GI:6323176
DIP:952E	DIP:697N		SWP:P31244	PIR:S25366	GI:283130	DIP:715N		SWP:P43321	PIR:S29093	GI:6323176
DIP:956E	DIP:976N		SWP:P53742	PIR:S63384	GI:2131978	DIP:843N		SWP:P40018	PIR:S50487	GI:6320867
DIP:963E	DIP:856N		SWP:Q04693	PIR:S50943	GI:1077989	DIP:651N		SWP:P19736	PIR:S12320	GI:83435
DIP:976E	DIP:142N		SWP:P22035	PIR:A40083	GI:101447	DIP:816N		SWP:P40567	PIR:S48353	GI:626287
DIP:1007E	DIP:801N		SWP:P29539	PIR:S46157	GI:626910	DIP:851N		SWP:P11938	PIR:S50714	GI:2131234
DIP:1015E	DIP:861N		SWP:P23561	PIR:S51380	GI:1078309	DIP:858N		SWP:P32917	PIR:S51254	GI:1078397
DIP:1016E	DIP:9N		SWP:P06784	PIR:A25048	GI:83470	DIP:858N		SWP:P32917	PIR:S51254	GI:1078397
DIP:1017E	DIP:714N		SWP:P16892	PIR:S28548	GI:283239	DIP:858N		SWP:P32917	PIR:S51254	GI:1078397
DIP:1018E	DIP:60N		SWP:P14681	PIR:A33297	GI:101396	DIP:858N		SWP:P32917	PIR:S51254	GI:1078397
DIP:1024E	DIP:60N		SWP:P14681	PIR:A33297	GI:101396	DIP:861N		SWP:P23561	PIR:S51380	GI:1078309
DIP:1025E	DIP:714N		SWP:P16892	PIR:S28548	GI:283239	DIP:861N		SWP:P23561	PIR:S51380	GI:1078309
DIP:1026E	DIP:60N		SWP:P14681	PIR:A33297	GI:101396	DIP:9N		SWP:P06784	PIR:A25048	GI:83470
DIP:1027E	DIP:714N		SWP:P16892	PIR:S28548	GI:283239	DIP:9N		SWP:P06784	PIR:A25048	GI:83470
DIP:1028E	DIP:60N		SWP:P14681	PIR:A33297	GI:101396	DIP:64N		SWP:P13574	PIR:A33540	GI:101292
DIP:1030E	DIP:861N		SWP:P23561	PIR:S51380	GI:1078309	DIP:667N		SWP:P25344	PIR:S17475	GI:280441
DIP:1031E	DIP:518N			PIR:JQ1027	GI:101473	DIP:1041N		SWP:P01119	PIR:TVBYR1	GI:2144593
DIP:1033E	DIP:518N			PIR:JQ1027	GI:101473	DIP:675N		SWP:P24719	PIR:S20174	GI:101620
DIP:1034E	DIP:1041N		SWP:P01119	PIR:TVBYR1	GI:2144593	DIP:675N		SWP:P24719	PIR:S20174	GI:101620
DIP:1036E	DIP:507N		SWP:P01367	PIR:JFBYA2	GI:279629	DIP:512N		SWP:P16649	PIR:JN0133	GI:83454
DIP:1050E	DIP:411N		SWP:P12398	PIR:HHBYS1	GI:72217	DIP:694N		SWP:Q01852	PIR:S25196	GI:283201
DIP:1051E	DIP:775N		SWP:P38523	PIR:S41760	GI:630369	DIP:694N		SWP:Q01852	PIR:S25196	GI:283201
DIP:1052E	DIP:775N		SWP:P38523	PIR:S41760	GI:630369	DIP:411N		SWP:P12398	PIR:HHBYS1	GI:72217
DIP:1067E	DIP:954N		SWP:P18851	PIR:S60939	GI:2133158	DIP:858N		SWP:P32917	PIR:S51254	GI:1078397
DIP:1071E	DIP:865N		SWP:P34164	PIR:S51792	GI:1078370	DIP:18N		SWP:P06782	PIR:A26030	GI:83422
DIP:1072E	DIP:840N		SWP:P46954	PIR:S50246	GI:1078371	DIP:18N		SWP:P06782	PIR:A26030	GI:83422
DIP:1134E	DIP:361N		SWP:P21182	PIR:DCBYDM	GI:68180	DIP:361N		SWP:P21182	PIR:DCBYDM	GI:68180
