DIP:138E	DIP:796N		SWP:P38042	PIR:S45825	GI:626118	DIP:25N		SWP:P09798	PIR:A27832	GI:82934
DIP:139E	DIP:589N		SWP:P16522	PIR:RGBY23	GI:69002	DIP:589N		SWP:P16522	PIR:RGBY23	GI:69002
DIP:140E	DIP:796N		SWP:P38042	PIR:S45825	GI:626118	DIP:589N		SWP:P16522	PIR:RGBY23	GI:69002
DIP:141E	DIP:796N		SWP:P38042	PIR:S45825	GI:626118	DIP:796N		SWP:P38042	PIR:S45825	GI:626118
DIP:142E	DIP:543N		SWP:P00937	PIR:NNBY2	GI:538557	DIP:542N		SWP:P00899	PIR:NNBY1	GI:1070510
DIP:143E	DIP:1023N		SWP:P03965	PIR:SYBYCP	GI:68662	DIP:1024N		SWP:P07258	PIR:SYBYCS	GI:2144532
DIP:144E	DIP:811N		SWP:Q04199	PIR:S47447	GI:626403	DIP:338N		SWP:P13712	PIR:BVBYMS	GI:73266
DIP:145E	DIP:923N		SWP:Q12495	PIR:S57552	GI:6325275	DIP:338N		SWP:P13712	PIR:BVBYMS	GI:73266
DIP:146E	DIP:923N		SWP:Q12495	PIR:S57552	GI:6325275	DIP:811N		SWP:Q04199	PIR:S47447	GI:626403
DIP:154E	DIP:44N		SWP:P13393	PIR:A30366	GI:6320996	DIP:839N		SWP:P46677	PIR:S50237	GI:1078410
DIP:155E	DIP:1078N		SWP:P20226	PIR:TWHU2D	GI:1070666	DIP:839N		SWP:P46677	PIR:S50237	GI:1078410
DIP:159E	DIP:343N		SWP:P23255	PIR:BWBYM1	GI:279714	DIP:44N		SWP:P13393	PIR:A30366	GI:6320996
DIP:163E	DIP:80N		SWP:P20227	PIR:A35615	GI:17647997	DIP:343N		SWP:P23255	PIR:BWBYM1	GI:279714
DIP:164E	DIP:147N			PIR:A40262	GI:2136308	DIP:343N		SWP:P23255	PIR:BWBYM1	GI:279714
DIP:209E	DIP:906N		SWP:P38995	PIR:S55353	GI:1362274	DIP:813N		SWP:P38636	PIR:S47930	GI:626734
DIP:217E	DIP:44N		SWP:P13393	PIR:A30366	GI:6320996	DIP:964N		SWP:P46678	PIR:S62141	GI:2133106
DIP:218E	DIP:191N		SWP:P29056	PIR:A44072	GI:322950	DIP:964N		SWP:P46678	PIR:S62141	GI:2133106
DIP:219E	DIP:191N		SWP:P29056	PIR:A44072	GI:322950	DIP:44N		SWP:P13393	PIR:A30366	GI:6320996
DIP:230E	DIP:417N		SWP:P02303	PIR:HSBY3	GI:625298	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:231E	DIP:418N		SWP:P02309	PIR:HSBY4	GI:70775	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:232E	DIP:417N		SWP:P02303	PIR:HSBY3	GI:625298	DIP:33N		SWP:P11978	PIR:A29360	GI:83539
DIP:233E	DIP:418N		SWP:P02309	PIR:HSBY4	GI:70775	DIP:33N		SWP:P11978	PIR:A29360	GI:83539
DIP:234E	DIP:33N		SWP:P11978	PIR:A29360	GI:83539	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:235E	DIP:851N		SWP:P11938	PIR:S50714	GI:2131234	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:236E	DIP:419N		SWP:P04911	PIR:HSBYA1	GI:70705	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:237E	DIP:416N		SWP:P02293	PIR:HSBY22	GI:70730	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:238E	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475	DIP:595N		SWP:P06701	PIR:RGBYI3	GI:6323475
DIP:239E	DIP:851N		SWP:P11938	PIR:S50714	GI:2131234	DIP:33N		SWP:P11978	PIR:A29360	GI:83539
DIP:240E	DIP:33N		SWP:P11978	PIR:A29360	GI:83539	DIP:596N		SWP:P06700	PIR:RGBYS2	GI:73251
DIP:241E	DIP:834N		SWP:P38959	PIR:S49835	GI:1077520	DIP:1002N		SWP:Q07468	PIR:S67613	GI:2132429
DIP:242E	DIP:510N		SWP:P25296	PIR:JH0462	GI:82921	DIP:662N		SWP:P23287	PIR:S16809	GI:101225
DIP:243E	DIP:510N		SWP:P25296	PIR:JH0462	GI:82921	DIP:833N		SWP:P14747	PIR:S49804	GI:1071869
DIP:244E	DIP:551N		SWP:P07278	PIR:OKBYRC	GI:279519	DIP:548N		SWP:P06244	PIR:OKBYC1	GI:2144416
DIP:245E	DIP:551N		SWP:P07278	PIR:OKBYRC	GI:279519	DIP:549N		SWP:P06245	PIR:OKBYC2	GI:2144417
DIP:246E	DIP:551N		SWP:P07278	PIR:OKBYRC	GI:279519	DIP:550N		SWP:P05986	PIR:OKBYC3	GI:538539
DIP:247E	DIP:847N		SWP:P25302	PIR:S50614	GI:1072501	DIP:598N		SWP:P09959	PIR:RGBYW6	GI:69001
DIP:249E	DIP:658N		SWP:P24869	PIR:S14166	GI:82957	DIP:847N		SWP:P25302	PIR:S50614	GI:1072501
DIP:250E	DIP:157N		SWP:P29295	PIR:A40860	GI:101506	DIP:598N		SWP:P09959	PIR:RGBYW6	GI:69001
DIP:251E	DIP:720N		SWP:P23292	PIR:S29522	GI:320648	DIP:719N		SWP:P23291	PIR:S29521	GI:320647
DIP:253E	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045	DIP:48N		SWP:P15790	PIR:A31564	GI:82923
DIP:254E	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045	DIP:1038N		SWP:P19454	PIR:TVBY2A	GI:6324635
DIP:255E	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045	DIP:282N		SWP:P43639	PIR:A56421	GI:1077045
DIP:256E	DIP:262N		SWP:P38930	PIR:A54907	GI:6324613	DIP:48N		SWP:P15790	PIR:A31564	GI:82923
