Degree, stddev
290, 0.0
140, 0.0
112, 0.0
5, 0.0001672610305762425
159, 0.0
141, 0.0
133, 0.0
102, 0.0
69, 0.0
105, 0.0
36, 0.0011091086547934564
109, 0.0
30, 0.002716989992384582
100, 0.0
54, 0.0
43, 0.0024565552179728087
31, 0.001157593881314288
33, 0.001180081587556299
51, 0.0018983670163582108
85, 0.0
57, 6.892173238474066e-05
52, 0.0
9, 0.00034237649187703864
21, 0.0006740853734989818
25, 0.0006018682566431875
39, 0.0016812775706840696
53, 0.0
38, 0.0
40, 0.0009565383193604639
18, 0.0007741440263671931
35, 0.000814810978469775
71, 0.0
17, 0.0007922424724408794
23, 0.000997644482969273
29, 0.0006036900512469431
14, 0.00044905991056954286
15, 0.0006640238155485148
24, 0.0006991357735936324
13, 0.000527872007605989
37, 0.000964195241051507
20, 0.000976768605812204
46, 0.0
22, 0.0007776799047009963
12, 0.0004561526808051436
48, 0.0
26, 0.0007755175744002244
19, 0.0007026650508990532
16, 0.000667691730898298
27, 0.0008429276595999297
41, 0.0
4, 0.00011492239725020266
6, 0.00021679743202049242
8, 0.0003065834953407888
7, 0.00026304136636292133
10, 0.00042974661295273566
11, 0.00043748941748112486
60, 0.000595732832698169
45, 0.0012639892108399138
70, 0.0
28, 0.0
3, 6.22029912039704e-05
