Degree, Count
61, 1
51, 3
42, 1
41, 1
40, 1
37, 2
36, 2
34, 2
33, 1
32, 5
31, 1
30, 3
29, 2
28, 2
27, 5
26, 5
25, 5
24, 3
23, 5
22, 8
21, 9
20, 7
19, 18
18, 20
17, 19
16, 20
15, 18
14, 27
13, 37
12, 36
11, 55
10, 49
9, 67
8, 79
7, 103
6, 130
5, 140
4, 210
3, 320
2, 424
1, 764
