Degree, stddev
48, 0.003341419081703317
1, 2.401492217855242e-05
6, 0.000285835957676936
108, 0.0093107906872822
32, 0.0013403105563441753
20, 0.000687507227109495
47, 0.002742209393420904
49, 0.0029179937784083714
23, 0.0008774189320374839
45, 0.002725245900234421
26, 0.0009693540434922525
22, 0.0010411129413515842
9, 0.00018154146058496986
18, 0.0005018647965733617
12, 0.0003551864318648327
29, 0.0011727219219645573
17, 0.0005803824565318103
14, 0.000309081323647125
16, 0.0004134926837116712
11, 0.00024081631257341006
21, 0.0005933022675760889
5, 0.00021965711893420114
15, 0.0006005674718121253
2, 6.769787233388381e-05
4, 0.00012219564853442762
19, 0.0006784343725963107
13, 0.00030366888983381746
8, 0.00021395827267274098
0, 1.8392273557804097e-06
3, 8.670915008073666e-05
10, 0.00010033583304045863
7, 0.00012668260635145194
