Degree, stddev
6, 0.000901202505658885
51, 0.0021305955367120965
132, 0.0
31, 0.012446765651075989
33, 0.0
18, 0.004796151681274301
73, 0.0
38, 0.0
50, 0.0
61, 0.0
22, 0.006151365538183425
17, 0.0029630764577673625
35, 0.0
39, 0.0
28, 0.0
21, 0.0033346980320371486
32, 0.0
26, 0.0
16, 0.0025080637848854093
14, 0.0009852678929620545
20, 0.004291819763972673
19, 0.002920621357160459
15, 0.00270076207269003
5, 0.0006259096636145917
25, 0.00028628315970992136
9, 0.0011652073008572132
4, 0.0005000031997232911
23, 0.0035357014327398986
2, 0.00015174316455487187
3, 0.0003087902364518725
27, 0.005126143825149724
7, 0.0008968097755987528
12, 0.002074398835917117
13, 0.0021209098769447896
8, 0.0009978344106354475
11, 0.001263130491336413
10, 0.0013267933681966302
1, 0.0
