Degree, Betweenness
71, 0.10705986944001364
3, 0.0009903230769991345
9, 0.00796289096908507
160, 0.30988207815763963
60, 0.0795790691948641
27, 0.030874137915075442
69, 0.08394951882063967
72, 0.09458364569656624
37, 0.03297286559652016
57, 0.0797266110379418
40, 0.04060019578155095
34, 0.025946091875301565
34, 0.03822070392853776
37, 0.02759740626618315
52, 0.05050967014657601
16, 0.010863021581320928
25, 0.01597720911820071
21, 0.021567045983600167
45, 0.05124499081348411
21, 0.01474502163129609
32, 0.030920072237296845
35, 0.029287650704948254
19, 0.011478405202122576
41, 0.033032566776574755
25, 0.021177990348189468
30, 0.019011747747487606
13, 0.009172311326169396
39, 0.034910394546979334
31, 0.027548207774642043
8, 0.003648456370136771
16, 0.011406637465321145
13, 0.010276563614992068
11, 0.00785113140147083
31, 0.024634991812018982
3, 0.00036842634707886265
11, 0.004938678518992466
31, 0.019440059846661997
7, 0.0029356419042464886
11, 0.005149622747232955
26, 0.019124634378260275
19, 0.008588651987911944
15, 0.012330266920753742
2, 0.0003807411993793066
9, 0.00475106245295853
27, 0.018869511229446474
9, 0.004516073241124828
17, 0.009668843633348292
19, 0.011833938008259234
10, 0.005002392834996981
18, 0.015440362507093611
11, 0.004142429048185688
17, 0.007606095211251147
21, 0.010314926498781705
15, 0.009891598754375527
21, 0.009990277269526768
7, 0.0016270264346167987
5, 0.0020825791561408873
20, 0.009346543361210762
10, 0.008112272477934068
6, 0.003335700847487007
13, 0.005285705032345885
8, 0.003171082865313824
8, 0.004472454614150174
15, 0.008338197443316346
6, 0.0025112145152449868
13, 0.006054536850213583
2, 0.0002862664172277913
8, 0.003704123845030471
11, 0.00487398665974058
19, 0.010472180459129848
5, 0.0018044963071430812
15, 0.011043358343115055
11, 0.0075230249141913725
19, 0.01540530399571868
24, 0.01774667448708791
2, 0.00038006805863922955
9, 0.0024950858537170825
12, 0.00865538349161246
8, 0.002150109121730627
18, 0.008586546191559265
15, 0.008855213044119388
18, 0.010194920367453226
6, 0.0022358430530972106
11, 0.007540623163260652
28, 0.019607074896204734
8, 0.0022479540389199184
5, 0.0009092245739565448
4, 0.0016052679869116085
11, 0.0036429816705517938
8, 0.0038526068889746692
12, 0.0056685992848040075
2, 0.00026628256545383773
2, 0.00021376731692481223
15, 0.01057912731408306
5, 0.002515860580467971
3, 0.0010886201280768152
10, 0.007833745914779446
16, 0.00626906083469783
9, 0.003209127725121055
5, 0.0017811266599889813
15, 0.006053856471408707
8, 0.0030883903012512764
5, 0.003782245498575997
9, 0.009024866803528315
10, 0.003717167011349197
5, 0.0009573051782496051
9, 0.002451294864839998
6, 0.002034797639097422
18, 0.008444102049959623
3, 0.0008136311046478209
2, 0.00010272767248737034
3, 0.0007909185278617913
12, 0.007021039179278176
9, 0.00304774981289089
13, 0.005952457285030763
5, 0.0004217824445410938
13, 0.008901173483903811
8, 0.0035862599384162103
2, 0.0001091205869846688
4, 0.0012925385923202657
6, 0.0014631949691408124
15, 0.006081160657969041
7, 0.0020855484049867546
14, 0.005201699794839362
9, 0.004328620762069051
2, 0.0004894420424081205
16, 0.004850460546085077
2, 0.0002536717025768269
15, 0.007940489303941114
14, 0.0050333317908653145
2, 9.909746458469622e-05
5, 0.002645506862757737
8, 0.005155858620200467
2, 0.0006110477016298748
8, 0.004853660840033144
3, 0.0010215019867538986
3, 0.0007364367197861775
3, 0.0010848063548616826
2, 0.00032647357344005085
5, 0.0008970775957932978
12, 0.006104571150285645
3, 0.0010374383293691313
7, 0.0033995346845176015
12, 0.002795793593176009
6, 0.0016342145918501621
7, 0.001184869953471245
6, 0.0011029687634198778
7, 0.0016168844064546684
2, 0.001228105911217172
2, 0.00025453428286288795
2, 0.0001584675783697714
13, 0.006167318084794193
4, 0.0017208366274064208
13, 0.006117081225742137
9, 0.002564901771790103
8, 0.00367918991758118
9, 0.0025400616809295234
3, 0.0013900510561024079
11, 0.003432730480919205
10, 0.004420788112563582
9, 0.003468465752666338
7, 0.0018042761114902544
6, 0.0022747657750765518
11, 0.0029195651650532907
13, 0.006954731534098333
8, 0.0026048595308884735
2, 0.00013397472777910383
9, 0.004142942164926841
6, 0.0036490047476357055
3, 0.000663120313728777
2, 0.0005449372184961704
3, 6.192106939367147e-05
3, 0.0005699044909914484
7, 0.0030311282963250536
12, 0.007288025561663883
11, 0.0038335946836759744
10, 0.004025915974314197
4, 0.0033373176928863262
8, 0.0029409644774897204
2, 0.0003540747585008458
8, 0.0033300075259764745
11, 0.006997007159680656
15, 0.006176951433540356
9, 0.00658985609227543
11, 0.004959886630488362
8, 0.002821337908174541
7, 0.004123855845564762
2, 0.0001222668907903742
6, 0.0017572919419828077
5, 0.0015593253058358144
7, 0.002407736620893836
3, 0.000260859414371243
9, 0.006555673956586234
3, 0.0006401495696385877
21, 0.00945336819643615
2, 0.00010909032946544702
6, 0.0024969818968067535
8, 0.0016844413854246079
12, 0.006661732352349049
6, 0.001970676935293652
13, 0.005132794597123732
6, 0.0021349768654779647
16, 0.007999577248919885
13, 0.00557696249533364
6, 0.0017548917416751336
3, 0.0004855316327689276
5, 0.0012437306719717282
5, 0.0008515380535964834
8, 0.0018343400909335834
15, 0.009709635599118478
9, 0.004635287851727626
3, 0.00035080880018163014
15, 0.009350764278261071
11, 0.004667332349055713
12, 0.008666147797295364
19, 0.011804121997784878
6, 0.0017673574328716684
9, 0.00299223435322334
2, 0.0004573610074631229
2, 0.0004149690752304185
7, 0.0014643395614283002
2, 0.0002152036601789152
5, 0.0014241062422652375
5, 0.0013924503842704162
5, 0.001723194283415787
9, 0.004447911164406783
11, 0.003098065539696799
5, 0.0010729722453910605
3, 0.0006383723001648173
7, 0.0022472855600343547
5, 0.0006660136377096084
4, 0.0008246177291189024
2, 0.00017031343607052263
3, 0.000571573162777372
3, 0.00045599308105502193
5, 0.0018457722086586597
11, 0.0026288947787842733
13, 0.004592840378714855
6, 0.0015160589591428875
2, 0.00029349046237554463
15, 0.00932406056148975
3, 0.0013302566321110002
3, 0.0008844910056050649
5, 0.0016623799190043907
5, 0.0008955848723010248
6, 0.0013567033423254847
3, 0.0003372134085046233
17, 0.00635879720052917
11, 0.005474164921175366
5, 0.0020149038131529995
5, 0.000644893727516112
3, 0.000543306077070296
3, 0.0006374293241477021
8, 0.004057054557293764
8, 0.005693031792543592
5, 0.0016845591429483831
6, 0.0020155299252504737
9, 0.0028185941010462493
8, 0.002458846458847822
2, 0.0005308073546751593
8, 0.002923411853535909
11, 0.0029786899264138606
3, 0.0008533872663539442
6, 0.003226928568686623
5, 0.0009216393497193137
10, 0.003811120509963579
5, 0.0018673566429521181
5, 0.002408040510680218
6, 0.0018738809142140288
2, 0.0008265525705498294
3, 0.0008115981530547298
5, 0.001082397784195322
3, 0.0001769641560150877
7, 0.002740953011106894
2, 0.00010859425691860423
5, 0.001959179158621927
