Degree, stddev
78, 0.0
124, 0.0061936911550685494
19, 0.0006191382443281371
165, 0.0
152, 0.0
120, 0.0
86, 0.0
34, 0.0018663877511121308
94, 0.0
98, 0.0
53, 0.0027512306745437203
84, 0.0
75, 0.0
40, 0.0010797309139068119
79, 0.0015013805771734294
52, 0.0020623253101059386
62, 0.0033181573983936527
43, 0.0003611304217367643
71, 0.0
64, 0.0
63, 0.0
49, 0.0
22, 0.0006439716166215382
58, 0.0008799788860885529
50, 0.0007192489771115617
67, 0.0
13, 0.0003281315977815573
31, 0.0007672626118882714
27, 0.0009401184546563278
37, 0.0005814667013439721
29, 0.00044770078775948307
61, 0.0
91, 0.0
17, 0.0005264845092092349
14, 0.00029654865028639813
38, 0.0009087561983789536
66, 0.0
74, 0.0
28, 0.0009324371945521879
30, 0.0013079957616659306
16, 0.00045498607864246764
23, 0.0007354505527977052
11, 0.0003024958802122513
36, 0.0
42, 0.0019181873784469416
41, 0.0015423296258117686
24, 0.0005477267554229752
18, 0.000613402472579584
15, 0.0004680702845830898
20, 0.000555776880406612
21, 0.00047351006767503253
33, 5.796532656350666e-05
44, 0.0006791138373741629
7, 0.00018081071875209462
35, 0.0
32, 0.0007643402258559973
8, 0.00022769982966224753
51, 0.0
12, 0.00033100344006264536
26, 0.000916068410384189
3, 3.724120202158765e-05
9, 0.0002448354047062628
25, 0.0006622629497575869
5, 0.00011153425141207412
10, 0.0002494614686165164
4, 7.686811988080303e-05
6, 0.0001385889667078764
2, 1.1910804119506861e-05
1, 0.0
