Degree, stddev
1, 0.0
21, 0.0007048008634683177
16, 0.0006241116395973786
9, 0.00048067627998449504
17, 0.0008132048567609032
7, 0.0004425128284168587
6, 0.0004119674547919263
8, 0.0003712878543890659
15, 0.0007143524175551475
12, 0.0005313630525316391
20, 0.0008284257979213036
4, 0.0002723369629451257
29, 0.0017358911123929136
2, 0.0001654386153037413
5, 0.00030641631214423304
14, 0.0006704855122573336
11, 0.0007070618818533737
3, 0.00023850560575775192
35, 0.0013406714512680339
31, 0.0015794096565349607
10, 0.00045609904041847186
23, 0.0009830070647981492
74, 0.0
28, 0.0014921935837945727
22, 0.0008519684518236271
18, 0.0007740804786531688
64, 0.002211023328129823
48, 0.001985638560134407
27, 0.0018006550504374543
65, 0.0024729776024356004
30, 0.0013509033846029058
13, 0.0005803053515889472
19, 0.0009651598979354672
40, 0.0018600625241937468
26, 0.0012683374040748643
24, 0.0017681096105843378
39, 0.0014155121825617277
25, 0.0011194523910822247
43, 0.001310752982584408
197, 0.0
61, 0.0
70, 0.0
57, 0.0017292591285055531
42, 0.0024187431794500487
36, 0.001383647048377881
38, 0.0017627311184222703
34, 0.0014072280448692875
73, 0.0
51, 0.003664702241044524
109, 0.0
33, 0.001747530729849267
115, 0.0064631949565690135
67, 0.0
55, 0.002603920551023231
68, 0.0
282, 0.0
60, 0.00029903302343227314
32, 0.0027211301694694606
50, 0.0
47, 0.00020157870139808504
87, 0.0
46, 0.0
71, 0.0
56, 0.0
54, 0.0
95, 0.000342017017897661
58, 0.0
41, 0.0
37, 0.002666636913788746
107, 0.0
66, 0.0
147, 0.0
125, 0.0
79, 0.0
59, 0.0
45, 0.0
